Time,Text
2026-09-02 07:53:05,Call to place market order to buy 100 units of symbol NASDAQ:BIAF 
2026-09-02 07:52:51,Order 3482673813 for symbol NASDAQ:BIAF has been executed at price 11.20 for 100 units
2026-09-02 07:52:51,Order 3482673813 successfully placed
2026-09-02 07:52:51,Call to place market order to sell 100 units of symbol NASDAQ:BIAF 
2026-09-01 13:59:01,Order 3478788000 for symbol NASDAQ:OLOX has been executed at price 1.1300 for 100 units
2026-09-01 13:59:01,Order 3478788000 successfully placed
2026-09-01 13:59:01,Call to place market order to buy 100 units of symbol NASDAQ:OLOX 
2026-09-01 13:58:13,Order 3478785401 for symbol NASDAQ:SSM has been executed at price 4.74 for 1200 units
2026-09-01 13:58:13,Order 3478785401 successfully placed
2026-09-01 13:58:13,Call to place market order to buy 1200 units of symbol NASDAQ:SSM 
2026-09-01 13:56:50,Order 3478780952 for symbol NASDAQ:SSM has been executed at price 4.81 for 600 units
2026-09-01 13:56:50,Order 3478780952 successfully placed
2026-09-01 13:56:50,Call to place market order to sell 600 units of symbol NASDAQ:SSM 
2026-09-01 13:55:09,Order 3478774112 for symbol NASDAQ:SSM has been executed at price 4.80 for 300 units
2026-09-01 13:55:09,Order 3478774112 successfully placed
2026-09-01 13:55:09,Call to place market order to sell 300 units of symbol NASDAQ:SSM 
2026-09-01 13:52:08,Order 3478761787 for symbol NASDAQ:SSM has been executed at price 4.66 for 600 units
2026-09-01 13:52:08,Order 3478761787 successfully placed
2026-09-01 13:52:08,Call to place market order to sell 600 units of symbol NASDAQ:SSM 
2026-09-01 13:51:33,Order 3478759890 for symbol NASDAQ:SSM has been executed at price 4.72 for 600 units
2026-09-01 13:51:33,Order 3478759890 successfully placed
2026-09-01 13:51:33,Call to place market order to buy 600 units of symbol NASDAQ:SSM 
2026-09-01 13:50:10,Order 3478754606 for symbol NASDAQ:SSM has been executed at price 4.68 for 800 units
2026-09-01 13:50:10,Order 3478754606 successfully placed
2026-09-01 13:50:10,Call to place market order to sell 800 units of symbol NASDAQ:SSM 
2026-09-01 13:49:55,Order 3478753479 for symbol NASDAQ:SSM has been executed at price 4.65 for 800 units
2026-09-01 13:49:55,Order 3478753479 successfully placed
2026-09-01 13:49:55,Call to place market order to buy 800 units of symbol NASDAQ:SSM 
2026-09-01 13:48:52,Order 3478749240 for symbol NASDAQ:SSM has been executed at price 4.66 for 400 units
2026-09-01 13:48:51,Order 3478749240 successfully placed
2026-09-01 13:48:51,Call to place market order to sell 400 units of symbol NASDAQ:SSM 
2026-09-01 13:47:54,Order 3478745053 for symbol NASDAQ:SSM has been executed at price 4.70 for 200 units
2026-09-01 13:47:54,Order 3478745053 successfully placed
2026-09-01 13:47:54,Call to place market order to buy 200 units of symbol NASDAQ:SSM 
2026-09-01 13:45:01,Order 3478734450 for symbol NASDAQ:SSM has been executed at price 4.55 for 100 units
2026-09-01 13:45:01,Order 3478734450 successfully placed
2026-09-01 13:45:01,Call to place market order to sell 100 units of symbol NASDAQ:SSM 
2026-09-01 11:44:57,Order 3478173699 for symbol NASDAQ:SSM has been executed at price 3.99 for 100 units
2026-09-01 11:44:57,Order 3478173699 successfully placed
2026-09-01 11:44:57,Call to place market order to buy 100 units of symbol NASDAQ:SSM 
2026-09-01 11:41:27,Order 3478158641 for symbol NASDAQ:OLOX has been executed at price 1.1900 for 100 units
2026-09-01 11:41:27,Order 3478158641 successfully placed
2026-09-01 11:41:27,Call to place market order to sell 100 units of symbol NASDAQ:OLOX 
2026-09-01 11:38:40,Order 3478145528 for symbol NASDAQ:SSM has been executed at price 3.99 for 100 units
2026-09-01 11:38:40,Order 3478145528 successfully placed
2026-09-01 11:38:40,Call to place market order to sell 100 units of symbol NASDAQ:SSM 
2026-09-01 11:37:18,Order 3478139439 for symbol NASDAQ:OLOX has been executed at price 1.2600 for 100 units
2026-09-01 11:37:18,Order 3478139439 successfully placed
2026-09-01 11:37:18,Call to place market order to sell 100 units of symbol NASDAQ:OLOX 
2026-09-01 11:36:51,Order 3478137341 for symbol NASDAQ:OLOX has been executed at price 1.3300 for 100 units
2026-09-01 11:36:51,Order 3478137341 successfully placed
2026-09-01 11:36:51,Call to place market order to buy 100 units of symbol NASDAQ:OLOX 
2026-09-01 10:53:02,Order 3477902682 for symbol NASDAQ:FLYE has been executed at price 2.01 for 100 units
2026-09-01 10:53:02,Order 3477902682 successfully placed
